,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Win_Loss
97,Breece Hall,NYJ,RB,L 20-23,11.4,0.0,0.0,0.0,6.0,56.0,0.0,3.0,13.0,0.0,4.0,0.0,0.0,0.0,9.9,0.0,0.0,KC,Home,23.0,10-03-23,4,False,0,0
104,Jerome Ford,Cle,RB,L 3-28,11.9,0.0,0.0,0.0,9.0,26.0,0.0,5.0,19.0,0.0,6.0,0.0,0.0,0.0,9.5,0.0,0.0,Bal,Home,24.0,10-03-23,4,False,0,0
111,Jahmyr Gibbs,Det,RB,W 34-20,12.5,0.0,0.0,0.0,8.0,40.0,0.0,4.0,11.0,0.0,5.0,0.0,0.0,0.0,9.1,0.0,0.0,GB,Away,25.0,10-03-23,4,False,0,1
112,Tony Pollard,Dal,RB,W 38-3,18.6,0.0,0.0,0.0,11.0,47.0,0.0,3.0,13.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,NE,Home,26.5,10-03-23,4,False,0,1
113,Zack Moss,Ind,RB,L 23-29,14.3,0.0,0.0,0.0,18.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,LAR,Home,26.5,10-03-23,4,False,0,0
114,Devin Singletary,Hou,RB,W 30-6,6.7,6.0,1.0,0.0,7.0,25.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,8.84,1.0,1.0,Pit,Home,28.0,10-03-23,4,False,0,1
115,Tyjae Spears,Ten,RB,W 27-3,8.7,0.0,0.0,0.0,5.0,40.0,0.0,3.0,18.0,0.0,4.0,0.0,0.0,0.0,8.8,0.0,0.0,Cin,Home,29.0,10-03-23,4,False,0,1
119,Joe Mixon,Cin,RB,L 3-27,14.7,0.0,0.0,0.0,14.0,67.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,8.6,0.0,0.0,Ten,Away,30.0,10-03-23,4,False,0,0
125,Ronnie Rivers,LAR,RB,W 29-23,4.4,0.0,0.0,0.0,9.0,47.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,7.7,0.0,0.0,Ind,Away,31.0,10-03-23,4,False,0,1
126,Latavius Murray,Buf,RB,W 48-20,5.1,0.0,0.0,0.0,4.0,32.0,0.0,2.0,24.0,0.0,2.0,0.0,0.0,0.0,7.6,0.0,0.0,Mia,Home,32.0,10-03-23,4,False,0,1
130,Chuba Hubbard,Car,RB,L 13-21,6.4,0.0,0.0,0.0,14.0,41.0,0.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,7.3,0.0,0.0,Min,Home,33.0,10-03-23,4,False,0,0
134,Cam Akers,Min,RB,W 21-13,2.1,0.0,0.0,0.0,5.0,40.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,7.1,0.0,0.0,Car,Away,34.0,10-03-23,4,False,0,1
137,Gus Edwards,Bal,RB,W 28-3,6.9,0.0,0.0,0.0,15.0,48.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,6.9,0.0,0.0,Cle,Away,35.0,10-03-23,4,False,0,1
141,James Conner,Ari,RB,L 16-35,14.1,0.0,0.0,0.0,11.0,52.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,6.6,0.0,0.0,SF,Away,36.0,10-03-23,4,False,0,0
143,Joshua Kelley,LAC,RB,W 24-17,13.4,0.0,0.0,0.0,17.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,LV,Home,37.0,10-03-23,4,False,0,1
145,Hunter Luepke,Dal,RB,W 38-3,0.7,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,NE,Home,38.0,10-03-23,4,False,0,1
148,Miles Sanders,Car,RB,L 13-21,15.6,0.0,0.0,0.0,13.0,19.0,0.0,3.0,13.0,0.0,3.0,0.0,0.0,0.0,6.2,0.0,0.0,Min,Home,39.0,10-03-23,4,False,0,0
151,Kenneth Gainwell,Phi,RB,W 34-31,8.5,0.0,0.0,0.0,4.0,14.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,6.1,0.0,0.0,Wsh,Home,40.0,10-03-23,4,False,0,1
152,Rhamondre Stevenson,NE,RB,L 3-38,12.8,0.0,0.0,0.0,14.0,30.0,0.0,2.0,10.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,Dal,Away,41.0,10-03-23,4,False,0,0
157,Raheem Mostert,Mia,RB,L 20-48,14.3,0.0,0.0,0.0,7.0,9.0,0.0,3.0,36.0,0.0,5.0,0.0,1.0,0.0,5.5,0.0,0.0,Buf,Away,42.5,10-03-23,4,False,0,0
159,Samaje Perine,Den,RB,W 31-28,8.8,0.0,0.0,0.0,6.0,12.0,0.0,2.0,23.0,0.0,2.0,0.0,0.0,0.0,5.5,0.0,0.0,Chi,Away,42.5,10-03-23,4,False,0,1
162,Melvin Gordon III,Bal,RB,W 28-3,0.0,0.0,0.0,0.0,3.0,21.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,5.4,0.0,0.0,Cle,Away,44.5,10-03-23,4,False,0,1
163,Emari Demercado,Ari,RB,L 16-35,1.6,0.0,0.0,0.0,1.0,3.0,0.0,3.0,21.0,0.0,4.0,0.0,0.0,0.0,5.4,0.0,0.0,SF,Away,44.5,10-03-23,4,False,0,0
168,Zach Charbonnet,Sea,RB,W 24-3,6.9,0.0,0.0,0.0,5.0,31.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,NYG,Away,46.0,10-03-23,4,False,0,1
170,Pierre Strong Jr.,Cle,RB,L 3-28,0.9,0.0,0.0,0.0,5.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,Bal,Home,47.0,10-03-23,4,False,0,0
175,Isaiah Spiller,LAC,RB,W 24-17,5.6,0.0,0.0,0.0,5.0,12.0,0.0,2.0,15.0,0.0,2.0,0.0,0.0,0.0,4.7,0.0,0.0,LV,Home,48.0,10-03-23,4,False,0,1
184,Ezekiel Elliott,NE,RB,L 3-38,6.8,0.0,0.0,0.0,6.0,16.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,4.2,0.0,0.0,Dal,Away,49.0,10-03-23,4,False,0,0
188,Michael Carter,NYJ,RB,L 20-23,3.5,0.0,0.0,0.0,1.0,9.0,0.0,2.0,12.0,0.0,3.0,0.0,0.0,0.0,4.1,0.0,0.0,KC,Home,50.0,10-03-23,4,False,0,0
193,Javonte Williams,Den,RB,W 31-28,12.6,0.0,0.0,0.0,2.0,0.0,0.0,3.0,9.0,0.0,3.0,0.0,0.0,0.0,3.9,0.0,0.0,Chi,Away,51.0,10-03-23,4,False,0,1
199,Antonio Gibson,Wsh,RB,L 31-34,7.2,0.0,0.0,0.0,6.0,19.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,3.6,0.0,0.0,Phi,Away,52.0,10-03-23,4,False,0,0
202,Ameer Abdullah,LV,RB,L 17-24,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,3.4,0.0,0.0,LAC,Away,53.0,10-03-23,4,False,0,0
203,Justice Hill,Bal,RB,W 28-3,9.5,0.0,0.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,Cle,Away,55.0,10-03-23,4,False,0,1
204,Alec Ingold,Mia,RB,L 20-48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,3.3,0.0,0.0,Buf,Away,55.0,10-03-23,4,False,0,0
205,Jordan Mason,SF,RB,W 35-16,5.4,0.0,0.0,0.0,3.0,10.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,3.3,0.0,0.0,Ari,Home,55.0,10-03-23,4,False,0,1
214,Damien Harris,Buf,RB,W 48-20,2.7,0.0,0.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,Mia,Home,58.0,10-03-23,4,False,0,1
215,Ke'Shawn Vaughn,TB,RB,W 26-9,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.9,0.0,0.0,NO,Away,58.0,10-03-23,4,False,0,1
218,Gary Brightwell,NYG,RB,L 3-24,8.0,0.0,0.0,0.0,4.0,9.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,2.9,0.0,0.0,Sea,Home,58.0,10-03-23,4,False,0,0
219,Dalvin Cook,NYJ,RB,L 20-23,9.0,0.0,0.0,0.0,5.0,16.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.8,0.0,0.0,KC,Home,60.0,10-03-23,4,False,0,0
224,Rico Dowdle,Dal,RB,W 38-3,5.4,0.0,0.0,0.0,3.0,9.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,2.7,0.0,0.0,NE,Home,61.0,10-03-23,4,False,0,1
230,Roschon Johnson,Chi,RB,L 28-31,11.1,0.0,0.0,0.0,5.0,13.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,Den,Home,62.0,10-03-23,4,False,0,0
234,Patrick Ricard,Bal,RB,W 28-3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,2.4,0.0,0.0,Cle,Away,63.5,10-03-23,4,False,0,1
235,Aaron Jones,GB,RB,L 20-34,14.1,0.0,0.0,0.0,5.0,18.0,0.0,1.0,-4.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0,Det,Home,63.5,10-03-23,4,False,0,0
236,Clyde Edwards-Helaire,KC,RB,W 23-20,4.1,0.0,0.0,0.0,3.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.3,0.0,0.0,NYJ,Away,65.0,10-03-23,4,False,0,1
238,Tyler Allgeier,Atl,RB,L 7-23,10.1,0.0,0.0,0.0,7.0,16.0,0.0,1.0,-4.0,0.0,2.0,0.0,0.0,0.0,2.2,0.0,0.0,Jax,Away,66.5,10-03-23,4,False,0,0
241,Jakob Johnson,LV,RB,L 17-24,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,0.0,0.0,0.0,2.2,0.0,0.0,LAC,Away,66.5,10-03-23,4,False,0,0
242,Deuce Vaughn,Dal,RB,W 38-3,2.0,0.0,0.0,0.0,8.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.1,0.0,0.0,NE,Home,68.0,10-03-23,4,False,0,1
254,Kendre Miller,NO,RB,L 9-26,6.5,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.8,0.0,0.0,TB,Home,69.0,10-03-23,4,False,0,0
260,Kyle Juszczyk,SF,RB,W 35-16,0.7,0.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.7,0.0,0.0,Ari,Home,70.0,10-03-23,4,False,0,1
268,Zamir White,LV,RB,L 17-24,2.5,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,LAC,Away,71.0,10-03-23,4,False,0,0
278,Kareem Hunt,Cle,RB,L 3-28,5.4,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,Bal,Home,72.0,10-03-23,4,False,0,0
279,AJ Dillon,GB,RB,L 20-34,8.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.0,0.0,Det,Home,73.0,10-03-23,4,False,0,0
281,Tank Bigsby,Jax,RB,W 23-7,2.3,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atl,Home,74.0,10-03-23,4,False,0,1
288,Jerick McKinnon,KC,RB,W 23-20,5.4,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,NYJ,Away,76.0,10-03-23,4,False,0,1
290,Trey Sermon,Ind,RB,L 23-29,4.2,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,LAR,Home,76.0,10-03-23,4,False,0,0
291,Chase Brown,Cin,RB,L 3-27,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,Ten,Away,76.0,10-03-23,4,False,0,0
294,Trayveon Williams,Cin,RB,L 3-27,3.5,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,Ten,Away,78.5,10-03-23,4,False,0,0
295,Mike Boone,Hou,RB,W 30-6,0.9,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,Pit,Home,78.5,10-03-23,4,False,0,1
