,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Win_Loss
1,A.J. Brown,Phi,WR,W 34-31,15.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,175.0,2.0,13.0,0.0,0.0,0.0,38.5,0.0,0.0,Wsh,Home,1.0,10-03-23,4,False,0,1
3,Stefon Diggs,Buf,WR,W 48-20,17.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,120.0,3.0,7.0,0.0,0.0,0.0,36.0,0.0,0.0,Mia,Home,2.0,10-03-23,4,False,0,1
4,Nico Collins,Hou,WR,W 30-6,12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,168.0,2.0,9.0,0.0,0.0,0.0,35.8,0.0,0.0,Pit,Home,3.0,10-03-23,4,False,0,1
6,Puka Nacua,LAR,WR,W 29-23,14.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,163.0,1.0,10.0,0.0,0.0,0.0,31.3,0.0,0.0,Ind,Away,4.0,10-03-23,4,False,0,1
13,DJ Moore,Chi,WR,L 28-31,12.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,1.0,9.0,0.0,0.0,0.0,27.1,0.0,0.0,Den,Home,5.0,10-03-23,4,False,0,0
15,Michael Wilson,Ari,WR,L 16-35,6.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,76.0,2.0,7.0,0.0,0.0,0.0,26.6,0.0,0.0,SF,Away,6.0,10-03-23,4,False,0,0
16,Justin Jefferson,Min,WR,W 21-13,22.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,85.0,2.0,9.0,0.0,0.0,0.0,26.5,0.0,0.0,Car,Away,7.0,10-03-23,4,False,0,1
24,Terry McLaurin,Wsh,WR,L 31-34,12.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86.0,0.0,10.0,0.0,0.0,0.0,22.6,0.0,0.0,Phi,Away,8.0,10-03-23,4,False,0,0
30,Brandon Aiyuk,SF,WR,W 35-16,13.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,148.0,0.0,6.0,0.0,0.0,0.0,20.8,0.0,0.0,Ari,Home,9.0,10-03-23,4,False,0,1
32,Chris Godwin,TB,WR,W 26-9,12.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,114.0,0.0,11.0,0.0,0.0,0.0,19.4,0.0,1.0,NO,Away,10.0,10-03-23,4,False,0,1
36,Romeo Doubs,GB,WR,L 20-34,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,95.0,0.0,13.0,0.0,0.0,0.0,18.5,0.0,0.0,Det,Home,11.0,10-03-23,4,False,0,0
37,Curtis Samuel,Wsh,WR,L 31-34,7.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,51.0,0.0,8.0,0.0,0.0,0.0,18.2,0.0,0.0,Phi,Away,12.0,10-03-23,4,False,0,0
40,Braxton Berrios,Mia,WR,L 20-48,6.9,0.0,0.0,0.0,1.0,11.0,0.0,6.0,43.0,1.0,6.0,0.0,0.0,0.0,17.4,0.0,0.0,Buf,Away,13.0,10-03-23,4,False,0,0
41,Amon-Ra St. Brown,Det,WR,W 34-20,16.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,56.0,1.0,7.0,0.0,0.0,0.0,16.6,0.0,0.0,GB,Away,14.5,10-03-23,4,False,0,1
42,Marquise Brown,Ari,WR,L 16-35,13.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,96.0,0.0,10.0,0.0,0.0,0.0,16.6,0.0,0.0,SF,Away,14.5,10-03-23,4,False,0,0
44,Christian Kirk,Jax,WR,W 23-7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,84.0,0.0,12.0,0.0,0.0,0.0,16.4,0.0,0.0,Atl,Home,16.0,10-03-23,4,False,0,1
46,Nick Westbrook-Ikhine,Ten,WR,W 27-3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,51.0,1.0,6.0,0.0,0.0,0.0,16.1,0.0,0.0,Cin,Home,17.0,10-03-23,4,False,0,1
47,Deven Thompkins,TB,WR,W 26-9,4.6,0.0,0.0,0.0,1.0,11.0,0.0,4.0,45.0,1.0,4.0,0.0,0.0,0.0,15.6,0.0,0.0,NO,Away,18.0,10-03-23,4,False,0,1
48,Davante Adams,LV,WR,L 17-24,20.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,0.0,13.0,0.0,0.0,0.0,15.5,0.0,0.0,LAC,Away,19.0,10-03-23,4,False,0,0
50,Adam Thielen,Car,WR,L 13-21,13.1,0.0,0.0,0.0,1.0,6.0,0.0,7.0,76.0,0.0,8.0,0.0,0.0,0.0,15.2,0.0,0.0,Min,Home,20.0,10-03-23,4,False,0,0
51,Gabe Davis,Buf,WR,W 48-20,10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,61.0,1.0,3.0,0.0,0.0,0.0,15.1,0.0,0.0,Mia,Home,21.5,10-03-23,4,False,0,1
52,Allen Lazard,NYJ,WR,L 20-23,8.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,61.0,1.0,3.0,0.0,0.0,0.0,15.1,0.0,0.0,KC,Home,21.5,10-03-23,4,False,0,0
53,Garrett Wilson,NYJ,WR,L 20-23,13.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,60.0,0.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,KC,Home,23.0,10-03-23,4,False,0,0
54,CeeDee Lamb,Dal,WR,W 38-3,14.8,0.0,0.0,0.0,1.0,12.0,0.0,4.0,36.0,1.0,6.0,0.0,0.0,0.0,14.8,0.0,0.0,NE,Home,24.5,10-03-23,4,False,0,1
55,DeVonta Smith,Phi,WR,W 34-31,14.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,78.0,0.0,9.0,0.0,0.0,0.0,14.8,0.0,0.0,Wsh,Home,24.5,10-03-23,4,False,0,1
58,Terrace Marshall Jr.,Car,WR,L 13-21,6.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,56.0,0.0,10.0,0.0,0.0,0.0,14.6,0.0,0.0,Min,Home,26.0,10-03-23,4,False,0,0
60,Ja'Marr Chase,Cin,WR,L 3-27,19.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,73.0,0.0,9.0,0.0,0.0,0.0,14.3,0.0,0.0,Ten,Away,27.0,10-03-23,4,False,0,0
69,Jahan Dotson,Wsh,WR,L 31-34,10.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,1.0,9.0,0.0,0.0,0.0,12.7,0.0,0.0,Phi,Away,28.0,10-03-23,4,False,0,0
71,DK Metcalf,Sea,WR,W 24-3,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,1.0,4.0,0.0,0.0,0.0,12.4,0.0,0.0,NYG,Away,29.0,10-03-23,4,False,0,1
72,Keenan Allen,LAC,WR,W 24-17,19.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,1.0,5.0,0.0,0.0,0.0,12.2,0.0,0.0,LV,Home,30.0,10-03-23,4,False,0,1
74,Calvin Ridley,Jax,WR,W 23-7,14.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,1.0,2.0,0.0,0.0,0.0,11.8,0.0,0.0,Atl,Home,31.5,10-03-23,4,False,0,1
76,Drake London,Atl,WR,L 7-23,9.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,1.0,7.0,0.0,0.0,0.0,11.8,0.0,0.0,Jax,Away,31.5,10-03-23,4,False,0,0
77,Courtland Sutton,Den,WR,W 31-28,13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,1.0,5.0,0.0,0.0,0.0,11.7,0.0,0.0,Chi,Away,33.0,10-03-23,4,False,0,1
83,Michael Gallup,Dal,WR,W 38-3,6.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,NE,Home,34.0,10-03-23,4,False,0,1
86,Joshua Palmer,LAC,WR,W 24-17,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,8.0,0.0,0.0,0.0,10.7,0.0,0.0,LV,Home,35.0,10-03-23,4,False,0,1
89,Christian Watson,GB,WR,L 20-34,11.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,4.0,0.0,0.0,0.0,10.5,0.0,0.0,Det,Home,36.5,10-03-23,4,False,0,0
90,Jayden Reed,GB,WR,L 20-34,9.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0,0.0,5.0,0.0,0.0,0.0,10.5,0.0,0.0,Det,Home,36.5,10-03-23,4,False,0,0
93,DeAndre Hopkins,Ten,WR,W 27-3,13.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,63.0,0.0,6.0,0.0,0.0,0.0,10.3,0.0,0.0,Cin,Home,38.0,10-03-23,4,False,0,1
95,Tyreek Hill,Mia,WR,L 20-48,22.1,0.0,0.0,0.0,1.0,14.0,0.0,3.0,58.0,0.0,5.0,0.0,0.0,0.0,10.2,0.0,0.0,Buf,Away,39.0,10-03-23,4,False,0,0
98,Josh Reynolds,Det,WR,W 34-20,8.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,0.0,6.0,0.0,0.0,0.0,9.9,0.0,0.0,GB,Away,40.0,10-03-23,4,False,0,1
101,Wan'Dale Robinson,NYG,WR,L 3-24,5.1,0.0,0.0,0.0,1.0,7.0,0.0,5.0,40.0,0.0,6.0,0.0,0.0,0.0,9.7,0.0,0.0,Sea,Home,41.0,10-03-23,4,False,0,0
105,Tyler Lockett,Sea,WR,W 24-3,13.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,54.0,0.0,6.0,0.0,0.0,0.0,9.4,0.0,0.0,NYG,Away,42.0,10-03-23,4,False,0,1
106,Michael Thomas,NO,WR,L 9-26,11.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,0.0,6.0,0.0,0.0,0.0,9.3,0.0,0.0,TB,Home,43.5,10-03-23,4,False,0,0
107,Jalen Tolbert,Dal,WR,W 38-3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,0.0,4.0,0.0,0.0,0.0,9.3,0.0,0.0,NE,Home,43.5,10-03-23,4,False,0,1
110,Darnell Mooney,Chi,WR,L 28-31,7.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,51.0,0.0,4.0,0.0,0.0,0.0,9.1,0.0,0.0,Den,Home,45.0,10-03-23,4,False,0,0
117,Derius Davis,LAC,WR,W 24-17,3.7,0.0,0.0,0.0,3.0,51.0,0.0,2.0,16.0,0.0,2.0,0.0,0.0,0.0,8.7,0.0,0.0,LV,Home,46.0,10-03-23,4,False,0,1
118,Jaylen Waddle,Mia,WR,L 20-48,14.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,0.0,5.0,0.0,0.0,0.0,8.6,0.0,0.0,Buf,Away,47.5,10-03-23,4,False,0,0
120,Trey Palmer,TB,WR,W 26-9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,8.6,0.0,0.0,NO,Away,47.5,10-03-23,4,False,0,1
122,Jerry Jeudy,Den,WR,W 31-28,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,0.0,5.0,0.0,0.0,0.0,8.2,0.0,0.0,Chi,Away,49.0,10-03-23,4,False,0,1
124,Zay Flowers,Bal,WR,W 28-3,13.1,0.0,0.0,0.0,1.0,-6.0,0.0,3.0,56.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,Cle,Away,50.0,10-03-23,4,False,0,1
127,Tutu Atwell,LAR,WR,W 29-23,13.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,9.0,0.0,0.0,0.0,7.4,0.0,0.0,Ind,Away,51.5,10-03-23,4,False,0,1
128,Brandon Johnson,Den,WR,W 31-28,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,7.4,0.0,0.0,Chi,Away,51.5,10-03-23,4,False,0,1
133,Dyami Brown,Wsh,WR,L 31-34,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,3.0,0.0,0.0,0.0,7.1,0.0,0.0,Phi,Away,53.0,10-03-23,4,False,0,0
136,Mike Evans,TB,WR,W 26-9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,NO,Away,54.0,10-03-23,4,False,0,1
138,Brandin Cooks,Dal,WR,W 38-3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,4.0,0.0,0.0,0.0,6.7,0.0,0.0,NE,Home,55.5,10-03-23,4,False,0,1
140,Marvin Mims Jr.,Den,WR,W 31-28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,0.0,2.0,0.0,0.0,0.0,6.7,0.0,0.0,Chi,Away,55.5,10-03-23,4,False,0,1
142,Tyler Boyd,Cin,WR,L 3-27,10.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,7.0,0.0,0.0,0.0,6.6,0.0,0.0,Ten,Away,57.0,10-03-23,4,False,0,0
144,Demario Douglas,NE,WR,L 3-38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,3.0,0.0,0.0,0.0,6.5,0.0,0.0,Dal,Away,58.0,10-03-23,4,False,0,0
146,Rashid Shaheed,NO,WR,L 9-26,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,7.0,0.0,0.0,0.0,6.3,0.0,0.0,TB,Home,59.0,10-03-23,4,False,0,0
149,Rashee Rice,KC,WR,W 23-20,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,5.0,0.0,0.0,0.0,6.2,0.0,0.0,NYJ,Away,60.0,10-03-23,4,False,0,1
150,KaVontae Turpin,Dal,WR,W 38-3,1.4,0.0,0.0,0.0,1.0,46.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,6.1,0.0,0.0,NE,Home,61.0,10-03-23,4,False,0,1
154,Calvin Austin III,Pit,WR,L 6-30,9.7,0.0,0.0,0.0,1.0,5.0,0.0,3.0,24.0,0.0,5.0,0.0,0.0,0.0,5.9,0.0,0.0,Hou,Away,62.0,10-03-23,4,False,0,0
155,Kendrick Bourne,NE,WR,L 3-38,11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,3.0,0.0,0.0,0.0,5.6,0.0,0.0,Dal,Away,63.5,10-03-23,4,False,0,0
156,Robert Woods,Hou,WR,W 30-6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,6.0,0.0,0.0,0.0,5.6,0.0,0.0,Pit,Home,63.5,10-03-23,4,False,0,1
158,George Pickens,Pit,WR,L 6-30,14.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,7.0,0.0,0.0,0.0,5.5,0.0,0.0,Hou,Away,65.0,10-03-23,4,False,0,0
160,Josh Downs,Ind,WR,L 23-29,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,LAR,Home,67.0,10-03-23,4,False,0,0
161,Isaiah Hodgins,NYG,WR,L 3-24,5.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,Sea,Home,67.0,10-03-23,4,False,0,0
164,Chris Moore,Ten,WR,W 27-3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,3.0,0.0,0.0,0.0,5.4,0.0,0.0,Cin,Home,67.0,10-03-23,4,False,0,1
165,Jakobi Meyers,LV,WR,L 17-24,12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,4.0,0.0,0.0,0.0,5.3,0.0,0.0,LAC,Away,69.5,10-03-23,4,False,0,0
166,DeVante Parker,NE,WR,L 3-38,10.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,4.0,0.0,0.0,0.0,5.3,0.0,0.0,Dal,Away,69.5,10-03-23,4,False,0,0
169,Van Jefferson,LAR,WR,W 29-23,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,3.0,0.0,0.0,0.0,4.9,0.0,0.0,Ind,Away,71.0,10-03-23,4,False,0,1
171,DJ Chark Jr.,Car,WR,L 13-21,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,3.0,0.0,0.0,0.0,4.8,0.0,0.0,Min,Home,73.0,10-03-23,4,False,0,0
172,Alec Pierce,Ind,WR,L 23-29,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0,LAR,Home,73.0,10-03-23,4,False,0,0
173,Kalif Raymond,Det,WR,W 34-20,5.7,0.0,0.0,0.0,1.0,40.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,0.0,4.8,0.0,0.0,GB,Away,73.0,10-03-23,4,False,0,1
177,Michael Pittman Jr.,Ind,WR,L 23-29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,LAR,Home,76.0,10-03-23,4,False,0,0
179,Parris Campbell,NYG,WR,L 3-24,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,Sea,Home,76.0,10-03-23,4,False,0,0
180,Samori Toure,GB,WR,L 20-34,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,1.0,0.0,0.0,0.0,4.5,0.0,0.0,Det,Home,76.0,10-03-23,4,False,0,0
183,Darius Slayton,NYG,WR,L 3-24,9.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,3.0,0.0,0.0,0.0,4.3,0.0,0.0,Sea,Home,78.0,10-03-23,4,False,0,0
185,Kadarius Toney,KC,WR,W 23-20,7.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,2.0,0.0,0.0,0.0,4.2,0.0,0.0,NYJ,Away,79.5,10-03-23,4,False,0,1
186,Ray-Ray McCloud III,SF,WR,W 35-16,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,2.0,0.0,0.0,0.0,4.2,0.0,0.0,Ari,Home,79.5,10-03-23,4,False,0,1
189,Zach Pascal,Ari,WR,L 16-35,1.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,SF,Away,81.0,10-03-23,4,False,0,0
190,Tee Higgins,Cin,WR,L 3-27,14.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,3.9,0.0,0.0,Ten,Away,83.0,10-03-23,4,False,0,0
191,Tank Dell,Hou,WR,W 30-6,12.2,0.0,0.0,0.0,2.0,13.0,0.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,3.9,0.0,0.0,Pit,Home,83.0,10-03-23,4,False,0,1
192,KhaDarel Hodge,Atl,WR,L 7-23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,2.0,0.0,0.0,0.0,3.9,0.0,0.0,Jax,Away,83.0,10-03-23,4,False,0,0
194,Trent Sherfield,Buf,WR,W 48-20,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,3.0,0.0,0.0,0.0,3.8,0.0,0.0,Mia,Home,85.0,10-03-23,4,False,0,1
200,Jaxon Smith-Njigba,Sea,WR,W 24-3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,3.5,0.0,0.0,NYG,Away,86.0,10-03-23,4,False,0,1
207,Hunter Renfrow,LV,WR,L 17-24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,3.2,0.0,0.0,LAC,Away,87.5,10-03-23,4,False,0,0
208,John Metchie III,Hou,WR,W 30-6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,2.0,0.0,0.0,0.0,3.2,0.0,0.0,Pit,Home,87.5,10-03-23,4,False,0,1
210,Equanimeous St. Brown,Chi,WR,L 28-31,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,3.1,0.0,0.0,Den,Home,89.0,10-03-23,4,False,0,0
211,Jalin Hyatt,NYG,WR,L 3-24,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,Sea,Home,90.5,10-03-23,4,False,0,0
212,Deonte Harty,Buf,WR,W 48-20,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,Mia,Home,90.5,10-03-23,4,False,0,1
216,Laviska Shenault Jr.,Car,WR,L 13-21,6.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,2.9,0.0,0.0,Min,Home,92.0,10-03-23,4,False,0,0
220,Quentin Johnston,LAC,WR,W 24-17,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,3.0,0.0,0.0,0.0,2.8,0.0,0.0,LV,Home,94.0,10-03-23,4,False,0,1
221,Randall Cobb,NYJ,WR,L 20-23,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,4.0,0.0,0.0,0.0,2.8,0.0,0.0,KC,Home,94.0,10-03-23,4,False,0,0
222,Devin Duvernay,Bal,WR,W 28-3,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,2.8,0.0,0.0,Cle,Away,94.0,10-03-23,4,False,0,1
225,Trenton Irwin,Cin,WR,L 3-27,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,2.7,0.0,0.0,Ten,Away,96.5,10-03-23,4,False,0,0
226,Xavier Gipson,NYJ,WR,L 20-23,0.2,0.0,0.0,0.0,2.0,13.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.7,0.0,0.0,KC,Home,96.5,10-03-23,4,False,0,0
227,Amari Cooper,Cle,WR,L 3-28,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,6.0,0.0,0.0,0.0,2.6,0.0,0.0,Bal,Home,99.0,10-03-23,4,False,0,0
228,K.J. Osborn,Min,WR,W 21-13,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,0.0,2.6,0.0,0.0,Car,Away,99.0,10-03-23,4,False,0,1
229,Cedrick Wilson Jr.,Mia,WR,L 20-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,2.0,0.0,0.0,0.0,2.6,0.0,0.0,Buf,Away,99.0,10-03-23,4,False,0,0
232,Byron Pringle,Wsh,WR,L 31-34,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,2.5,0.0,0.0,Phi,Away,101.0,10-03-23,4,False,0,0
233,JuJu Smith-Schuster,NE,WR,L 3-38,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,5.0,0.0,0.0,0.0,2.4,0.0,0.0,Dal,Away,102.0,10-03-23,4,False,0,0
244,Olamide Zaccheaus,Phi,WR,W 34-31,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,2.1,0.0,0.0,Wsh,Home,103.5,10-03-23,4,False,0,1
245,Lil'Jordan Humphrey,Den,WR,W 31-28,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,2.1,0.0,0.0,Chi,Away,103.5,10-03-23,4,False,0,1
246,Elijah Moore,Cle,WR,L 3-28,9.9,0.0,0.0,0.0,1.0,-20.0,0.0,2.0,20.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,Bal,Home,105.0,10-03-23,4,False,0,0
250,Skyy Moore,KC,WR,W 23-20,7.8,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,0.0,0.0,NYJ,Away,107.0,10-03-23,4,False,0,1
251,Tyler Scott,Chi,WR,L 28-31,3.6,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,Den,Home,107.0,10-03-23,4,False,0,0
253,Willie Snead IV,SF,WR,W 35-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,1.9,0.0,0.0,Ari,Home,107.0,10-03-23,4,False,0,1
255,Allen Robinson II,Pit,WR,L 6-30,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,1.8,0.0,0.0,Hou,Away,109.0,10-03-23,4,False,0,0
258,Donovan Peoples-Jones,Cle,WR,L 3-28,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,1.7,0.0,0.0,Bal,Home,110.5,10-03-23,4,False,0,0
259,Ronnie Bell,SF,WR,W 35-16,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.7,0.0,0.0,Ari,Home,110.5,10-03-23,4,False,0,1
262,Marquez Valdes-Scantling,KC,WR,W 23-20,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,1.6,0.0,0.0,NYJ,Away,113.0,10-03-23,4,False,0,1
263,Sterling Shepard,NYG,WR,L 3-24,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.6,0.0,0.0,Sea,Home,113.0,10-03-23,4,False,0,0
265,Isaiah McKenzie,Ind,WR,L 23-29,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,1.6,0.0,0.0,LAR,Home,113.0,10-03-23,4,False,0,0
270,Justin Watson,KC,WR,W 23-20,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,NYJ,Away,115.5,10-03-23,4,False,0,1
271,Cedric Tillman,Cle,WR,L 3-28,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,Bal,Home,115.5,10-03-23,4,False,0,0
273,Chris Olave,NO,WR,L 9-26,16.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,1.4,0.0,0.0,TB,Home,117.5,10-03-23,4,False,0,0
274,Nelson Agholor,Bal,WR,W 28-3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,1.4,0.0,0.0,Cle,Away,117.5,10-03-23,4,False,0,1
